"table_name","column_name","data_type","character_maximum_length","is_nullable","column_default","key_type"
"gilgamesh_content","id","uuid",NULL,"NO","gen_random_uuid()","PRIMARY KEY"
"gilgamesh_content","user_id","uuid",NULL,"NO",NULL,"FOREIGN KEY -> gilgamesh_users(id)"
"gilgamesh_content","type","text",NULL,"NO",NULL,""
"gilgamesh_content","original_url","text",NULL,"NO",NULL,""
"gilgamesh_content","transcript","text",NULL,"YES",NULL,""
"gilgamesh_content","tags","ARRAY",NULL,"YES",NULL,""
"gilgamesh_content","summary","text",NULL,"YES",NULL,""
"gilgamesh_content","created_at","timestamp without time zone",NULL,"YES","now()",""
"gilgamesh_mission","id","uuid",NULL,"NO","gen_random_uuid()","PRIMARY KEY"
"gilgamesh_mission","user_id","uuid",NULL,"NO",NULL,"FOREIGN KEY -> gilgamesh_users(id)"
"gilgamesh_mission","mission","text",NULL,"NO",NULL,""
"gilgamesh_mission","created_at","timestamp without time zone",NULL,"YES","now()",""
"gilgamesh_opportunities","id","uuid",NULL,"NO","gen_random_uuid()","PRIMARY KEY"
"gilgamesh_opportunities","mission_id","uuid",NULL,"NO",NULL,"FOREIGN KEY -> gilgamesh_mission(id)"
"gilgamesh_opportunities","label","text",NULL,"NO",NULL,""
"gilgamesh_opportunities","description","text",NULL,"YES",NULL,""
"gilgamesh_opportunities","status","text",NULL,"NO",NULL,""
"gilgamesh_opportunities","created_at","timestamp without time zone",NULL,"YES","now()",""
"gilgamesh_opportunity_progress","id","uuid",NULL,"NO","gen_random_uuid()","PRIMARY KEY"
"gilgamesh_opportunity_progress","opportunity_id","uuid",NULL,"NO",NULL,"FOREIGN KEY -> gilgamesh_opportunities(id)"
"gilgamesh_opportunity_progress","progress_entry","text",NULL,"NO",NULL,""
"gilgamesh_opportunity_progress","created_at","timestamp without time zone",NULL,"YES","now()",""
"gilgamesh_purpose","id","uuid",NULL,"NO","gen_random_uuid()","PRIMARY KEY"
"gilgamesh_purpose","user_id","uuid",NULL,"NO",NULL,"FOREIGN KEY -> gilgamesh_users(id)"
"gilgamesh_purpose","purpose","text",NULL,"NO",NULL,""
"gilgamesh_purpose","created_at","timestamp without time zone",NULL,"YES","now()",""
"gilgamesh_sm_images","id","uuid",NULL,"NO","gen_random_uuid()","PRIMARY KEY"
"gilgamesh_sm_images","post_id","uuid",NULL,"NO",NULL,"FOREIGN KEY -> gilgamesh_sm_posts(id)"
"gilgamesh_sm_images","image_url","text",NULL,"NO",NULL,""
"gilgamesh_sm_images","descriptive_text","text",NULL,"YES",NULL,""
"gilgamesh_sm_images","local_path","text",NULL,"YES",NULL,""
"gilgamesh_sm_images","created_at","timestamp with time zone",NULL,"YES","now()",""
"gilgamesh_sm_media_count","post_id","uuid",NULL,"NO",NULL,"PRIMARY KEY"
"gilgamesh_sm_media_count","video_count","integer",NULL,"NO","0",""
"gilgamesh_sm_media_count","image_count","integer",NULL,"NO","0",""
"gilgamesh_sm_media_count","created_at","timestamp with time zone",NULL,"YES","now()",""
"gilgamesh_sm_post_tags","post_id","uuid",NULL,"NO",NULL,"PRIMARY KEY"
"gilgamesh_sm_post_tags","tag_id","uuid",NULL,"NO",NULL,"PRIMARY KEY"
"gilgamesh_sm_post_tags","created_at","timestamp with time zone",NULL,"YES","now()",""
"gilgamesh_sm_posts","id","uuid",NULL,"NO","gen_random_uuid()","PRIMARY KEY"
"gilgamesh_sm_posts","post_url","text",NULL,"NO",NULL,""
"gilgamesh_sm_posts","generated_description","text",NULL,"YES",NULL,""
"gilgamesh_sm_posts","source_platform","text",NULL,"NO",NULL,""
"gilgamesh_sm_posts","created_at","timestamp with time zone",NULL,"YES","now()",""
"gilgamesh_sm_posts","updated_at","timestamp with time zone",NULL,"YES","now()",""
"gilgamesh_sm_posts","original_description","text",NULL,"YES",NULL,""
"gilgamesh_sm_scene_exercise_metadata","id","uuid",NULL,"NO","gen_random_uuid()","PRIMARY KEY"
"gilgamesh_sm_scene_exercise_metadata","scene_id","uuid",NULL,"NO",NULL,"FOREIGN KEY -> gilgamesh_sm_video_scenes(id)"
"gilgamesh_sm_scene_exercise_metadata","muscle_groups","ARRAY",NULL,"YES",NULL,""
"gilgamesh_sm_scene_exercise_metadata","benefits","ARRAY",NULL,"YES",NULL,""
"gilgamesh_sm_scene_exercise_metadata","exercise_name","ARRAY",NULL,"YES",NULL,""
"gilgamesh_sm_scene_exercise_metadata","how_to","text",NULL,"YES",NULL,""
"gilgamesh_sm_scene_exercise_metadata","tags","ARRAY",NULL,"YES",NULL,""
"gilgamesh_sm_scene_exercise_metadata","created_at","timestamp with time zone",NULL,"YES","now()",""
"gilgamesh_sm_tags","id","uuid",NULL,"NO","gen_random_uuid()","PRIMARY KEY"
"gilgamesh_sm_tags","tag","text",NULL,"NO",NULL,""
"gilgamesh_sm_tags","created_at","timestamp with time zone",NULL,"YES","now()",""
"gilgamesh_sm_video_scenes","id","uuid",NULL,"NO","gen_random_uuid()","PRIMARY KEY"
"gilgamesh_sm_video_scenes","video_id","uuid",NULL,"NO",NULL,"FOREIGN KEY -> gilgamesh_sm_videos(id)"
"gilgamesh_sm_video_scenes","start_time","double precision",NULL,"NO",NULL,""
"gilgamesh_sm_video_scenes","end_time","double precision",NULL,"NO",NULL,""
"gilgamesh_sm_video_scenes","onscreen_text","text",NULL,"YES",NULL,""
"gilgamesh_sm_video_scenes","transcript","text",NULL,"YES",NULL,""
"gilgamesh_sm_video_scenes","base64_snippet","text",NULL,"YES",NULL,""
"gilgamesh_sm_video_scenes","vector_id","uuid",NULL,"YES",NULL,""
"gilgamesh_sm_video_scenes","created_at","timestamp with time zone",NULL,"YES","now()",""
"gilgamesh_sm_videos","id","uuid",NULL,"NO","gen_random_uuid()","PRIMARY KEY"
"gilgamesh_sm_videos","post_id","uuid",NULL,"NO",NULL,"FOREIGN KEY -> gilgamesh_sm_posts(id)"
"gilgamesh_sm_videos","video_url","text",NULL,"NO",NULL,""
"gilgamesh_sm_videos","transcript","text",NULL,"YES",NULL,""
"gilgamesh_sm_videos","created_at","timestamp with time zone",NULL,"YES","now()",""
"gilgamesh_user_tags","id","uuid",NULL,"NO","gen_random_uuid()","PRIMARY KEY"
"gilgamesh_user_tags","user_id","uuid",NULL,"NO",NULL,"FOREIGN KEY -> gilgamesh_users(id)"
"gilgamesh_user_tags","tag","text",NULL,"NO",NULL,""
"gilgamesh_user_tags","source","text",NULL,"YES",NULL,""
"gilgamesh_user_tags","reference_id","uuid",NULL,"NO",NULL,""
